REQUEST_ID,STAFF_ID
REQ000254,STA017
REQ000255,STA011
REQ000256,STA010
REQ000257,STA016
REQ000258,STA019
REQ000259,STA013
REQ000260,STA015
REQ000261,STA017
REQ000262,STA002
REQ000263,STA002
REQ000264,STA004
REQ000265,STA015
REQ000266,STA013
REQ000267,STA010
REQ000268,STA006
REQ000269,STA005
REQ000270,STA014
REQ000271,STA009
REQ000272,STA008
REQ000273,STA013
REQ000274,STA004
REQ000275,STA011
REQ000276,STA016
REQ000277,STA012
REQ000278,STA020
REQ000279,STA020
REQ000280,STA009
REQ000281,STA017
REQ000282,STA009
REQ000283,STA003
REQ000284,STA007
REQ000285,STA007
REQ000286,STA009
REQ000287,STA020
REQ000288,STA015
REQ000289,STA004
REQ000290,STA011
REQ000291,STA006
REQ000292,STA013
REQ000293,STA010
REQ000294,STA015
REQ000295,STA003
REQ000296,STA003
REQ000297,STA009
REQ000298,STA011
REQ000299,STA008
REQ000300,STA014
REQ000301,STA006
REQ000302,STA014
REQ000303,STA004
REQ000304,STA009
REQ000305,STA015
REQ000306,STA012
REQ000307,STA020
REQ000308,STA007
REQ000309,STA002
REQ000310,STA006
REQ000311,STA009
REQ000312,STA018
REQ000313,STA003
REQ000314,STA012
REQ000315,STA012
REQ000316,STA020
REQ000317,STA001
REQ000318,STA020
REQ000319,STA013
REQ000320,STA007
REQ000321,STA003
REQ000322,STA008
REQ000323,STA002
REQ000324,STA007
REQ000325,STA007
REQ000326,STA010
REQ000327,STA020
REQ000328,STA013
REQ000329,STA018
REQ000330,STA016
REQ000331,STA017
REQ000332,STA002
REQ000333,STA007
REQ000334,STA016
REQ000335,STA011
REQ000336,STA007
REQ000337,STA020
REQ000338,STA010
REQ000339,STA011
REQ000340,STA010
REQ000341,STA017
REQ000342,STA011
REQ000343,STA012
REQ000344,STA016
REQ000345,STA005
REQ000346,STA009
REQ000347,STA006
REQ000348,STA009
REQ000349,STA004
REQ000350,STA020
REQ000351,STA007
REQ000352,STA001
REQ000353,STA018
REQ000354,STA001
REQ000355,STA020
REQ000356,STA013
REQ000357,STA015
REQ000358,STA004
REQ000359,STA003
REQ000360,STA012
REQ000361,STA020
REQ000362,STA003
REQ000363,STA004
REQ000364,STA001
REQ000365,STA014
REQ000366,STA009
REQ000367,STA002
REQ000368,STA015
REQ000369,STA012
REQ000370,STA012
REQ000371,STA006
REQ000372,STA004
REQ000373,STA001
REQ000374,STA005
REQ000375,STA006
REQ000376,STA017
REQ000377,STA015
REQ000378,STA006
REQ000379,STA010
REQ000380,STA009
REQ000381,STA005
REQ000382,STA005
REQ000383,STA005
REQ000384,STA014
REQ000385,STA014
REQ000386,STA016
REQ000387,STA003
REQ000388,STA020
REQ000389,STA010
REQ000390,STA004
REQ000391,STA003
REQ000392,STA010
REQ000393,STA014
REQ000394,STA008
REQ000395,STA005
REQ000396,STA003
REQ000397,STA019
REQ000398,STA020
REQ000399,STA008
REQ000400,STA013
REQ000401,STA017
REQ000402,STA007
REQ000403,STA009
REQ000404,STA009
REQ000405,STA005
REQ000406,STA010
REQ000407,STA002
REQ000408,STA013
REQ000409,STA003
REQ000410,STA007
REQ000411,STA016
REQ000412,STA001
REQ000413,STA012
REQ000414,STA009
REQ000415,STA008
REQ000416,STA012
REQ000417,STA016
REQ000418,STA002
REQ000419,STA003
REQ000420,STA004
REQ000421,STA020
REQ000422,STA018
REQ000423,STA008
REQ000424,STA001
REQ000425,STA012
REQ000426,STA008
REQ000427,STA002
REQ000428,STA007
REQ000429,STA014
REQ000430,STA006
REQ000431,STA017
REQ000432,STA020
REQ000433,STA016
REQ000434,STA012
REQ000435,STA010
REQ000436,STA001
REQ000437,STA012
REQ000438,STA001
REQ000439,STA017
REQ000440,STA005
REQ000441,STA014
REQ000442,STA018
REQ000443,STA019
REQ000444,STA013
REQ000445,STA018
REQ000446,STA017
REQ000447,STA010
REQ000448,STA009
REQ000449,STA011
REQ000450,STA003
REQ000451,STA018
REQ000452,STA005
REQ000453,STA006
REQ000454,STA005
REQ000455,STA007
REQ000456,STA001
REQ000457,STA015
REQ000458,STA013
REQ000459,STA012
REQ000460,STA014
REQ000461,STA002
REQ000462,STA014
REQ000463,STA007
REQ000464,STA013
REQ000465,STA001
REQ000466,STA006
REQ000467,STA010
REQ000468,STA008
REQ000469,STA020
REQ000470,STA009
REQ000471,STA002
REQ000472,STA008
REQ000473,STA016
REQ000474,STA018
REQ000475,STA011
REQ000476,STA010
REQ000477,STA003
REQ000478,STA012
REQ000479,STA019
REQ000480,STA012
REQ000481,STA002
REQ000482,STA010
REQ000483,STA005
REQ000484,STA009
REQ000485,STA013
REQ000486,STA008
REQ000487,STA011
REQ000488,STA002
REQ000489,STA018
REQ000490,STA010
REQ000491,STA002
REQ000492,STA005
REQ000493,STA015
REQ000494,STA019
REQ000495,STA014
REQ000496,STA009
REQ000497,STA006
REQ000498,STA001
REQ000499,STA004
REQ000500,STA017
REQ000501,STA003
REQ000502,STA003
REQ000503,STA019
REQ000504,STA005
REQ000505,STA018
REQ000506,STA015
REQ000507,STA014
REQ000508,STA013
REQ000509,STA004
REQ000510,STA010
REQ000511,STA008
REQ000512,STA010
REQ000513,STA007
REQ000514,STA005
REQ000515,STA001
REQ000516,STA016
REQ000517,STA020
REQ000518,STA004
REQ000519,STA001
REQ000520,STA011
REQ000521,STA020
REQ000522,STA015
REQ000523,STA011
REQ000524,STA019
REQ000525,STA006
REQ000526,STA007
REQ000527,STA012
REQ000528,STA002
REQ000529,STA014
REQ000530,STA017
REQ000531,STA004
REQ000532,STA016
REQ000533,STA014
REQ000534,STA009
REQ000535,STA002
REQ000536,STA007
REQ000537,STA008
REQ000538,STA017
REQ000539,STA001
REQ000540,STA016
REQ000541,STA012
REQ000542,STA015
REQ000543,STA015
REQ000544,STA015
REQ000545,STA020
REQ000546,STA006
REQ000547,STA014
REQ000548,STA010
REQ000549,STA009
REQ000550,STA010
REQ000551,STA009
REQ000552,STA016
REQ000553,STA019
REQ000554,STA010
REQ000555,STA020
REQ000556,STA003
REQ000557,STA018
REQ000558,STA013
REQ000559,STA008
REQ000560,STA019
REQ000561,STA013
REQ000562,STA018
REQ000563,STA006
REQ000564,STA016
REQ000565,STA010
REQ000566,STA002
REQ000567,STA008
REQ000568,STA003
REQ000569,STA013
REQ000570,STA020
REQ000571,STA019
REQ000572,STA014
REQ000573,STA020
REQ000574,STA011
REQ000575,STA020
REQ000576,STA020
REQ000577,STA006
REQ000578,STA015
REQ000579,STA019
REQ000580,STA016
REQ000581,STA006
REQ000582,STA018
REQ000583,STA007
REQ000584,STA019
REQ000585,STA020
REQ000586,STA003
REQ000587,STA007
REQ000588,STA010
REQ000589,STA003
REQ000590,STA001
REQ000591,STA015
REQ000592,STA004
REQ000593,STA019
REQ000594,STA010
REQ000595,STA003
REQ000596,STA010
REQ000597,STA005
REQ000598,STA013
REQ000599,STA006
REQ000600,STA006
REQ000601,STA008
REQ000602,STA005
REQ000603,STA004
REQ000604,STA002
REQ000605,STA008
REQ000606,STA012
REQ000607,STA004
REQ000608,STA015
REQ000609,STA014
REQ000610,STA003
REQ000611,STA013
REQ000612,STA004
REQ000613,STA008
REQ000614,STA005
REQ000615,STA016
REQ000616,STA001
REQ000617,STA010
REQ000618,STA006
REQ000619,STA010
REQ000620,STA007
REQ000621,STA011
REQ000622,STA005
REQ000623,STA018
REQ000624,STA020
REQ000625,STA020
REQ000626,STA018
REQ000627,STA004
REQ000628,STA018
REQ000629,STA013
REQ000630,STA020
REQ000631,STA008
REQ000632,STA003
REQ000633,STA012
REQ000634,STA017
REQ000635,STA019
REQ000636,STA002
REQ000637,STA020
REQ000638,STA018
REQ000639,STA019
REQ000640,STA016
REQ000641,STA001
REQ000642,STA010
REQ000643,STA019
REQ000644,STA012
REQ000645,STA001
REQ000646,STA001
REQ000647,STA016
REQ000648,STA012
REQ000649,STA003
REQ000650,STA011
REQ000651,STA018
REQ000652,STA013
REQ000653,STA002
REQ000654,STA015
REQ000655,STA001
REQ000656,STA011
REQ000657,STA009
REQ000658,STA008
REQ000659,STA014
REQ000660,STA006
REQ000661,STA015
REQ000662,STA006
REQ000663,STA016
REQ000664,STA011
REQ000665,STA011
REQ000666,STA004
REQ000667,STA015
REQ000668,STA011
REQ000669,STA006
REQ000670,STA019
REQ000671,STA006
REQ000672,STA011
REQ000673,STA008
REQ000674,STA019
REQ000675,STA019
REQ000676,STA002
REQ000677,STA001
REQ000678,STA008
REQ000679,STA001
REQ000680,STA019
REQ000681,STA018
REQ000682,STA012
REQ000683,STA019
REQ000684,STA013
REQ000685,STA006
REQ000686,STA005
REQ000687,STA011
REQ000688,STA012
REQ000689,STA006
REQ000690,STA001
REQ000691,STA019
REQ000692,STA007
REQ000693,STA002
REQ000694,STA018
REQ000695,STA017
REQ000696,STA017
REQ000697,STA014
REQ000698,STA017
REQ000699,STA018
REQ000700,STA013
REQ000701,STA020
REQ000702,STA018
REQ000703,STA006
REQ000704,STA004
REQ000705,STA003
REQ000706,STA002
REQ000707,STA007
REQ000708,STA011
REQ000709,STA012
REQ000710,STA019
REQ000711,STA007
REQ000712,STA003
REQ000713,STA016
REQ000714,STA004
REQ000715,STA016
REQ000716,STA001
REQ000717,STA018
REQ000718,STA002
REQ000719,STA004
REQ000720,STA005
REQ000721,STA017
REQ000722,STA006
REQ000723,STA004
REQ000724,STA014
REQ000725,STA012
REQ000726,STA014
REQ000727,STA016
REQ000728,STA002
REQ000729,STA010
REQ000730,STA013
REQ000731,STA016
REQ000732,STA020
REQ000733,STA006
REQ000734,STA018
REQ000735,STA017
REQ000736,STA012
REQ000737,STA010
REQ000738,STA015
REQ000739,STA017
REQ000740,STA003
REQ000741,STA005
REQ000742,STA018
REQ000743,STA007
REQ000744,STA018
REQ000745,STA019
REQ000746,STA004
REQ000747,STA009
REQ000748,STA008
REQ000749,STA004
REQ000750,STA018
REQ000751,STA015
REQ000752,STA006
REQ000753,STA011
REQ000754,STA012
REQ000755,STA006
REQ000756,STA005
REQ000757,STA020
REQ000758,STA018
REQ000759,STA015
REQ000760,STA019
REQ000761,STA016
REQ000762,STA017
REQ000763,STA011
REQ000764,STA001
REQ000765,STA010
REQ000766,STA013
REQ000767,STA008
REQ000768,STA012
REQ000769,STA008
REQ000770,STA004
REQ000771,STA011
REQ000772,STA002
REQ000773,STA019
REQ000774,STA003
REQ000775,STA011
REQ000776,STA006
REQ000777,STA003
REQ000778,STA016
REQ000779,STA002
REQ000780,STA018
REQ000781,STA018
REQ000782,STA017
REQ000783,STA009
REQ000784,STA013
REQ000785,STA015
REQ000786,STA004
REQ000787,STA001
REQ000788,STA005
REQ000789,STA014
REQ000790,STA015
REQ000791,STA020
REQ000792,STA014
REQ000793,STA004
REQ000794,STA008
REQ000795,STA006
REQ000796,STA009
REQ000797,STA007
REQ000798,STA020
REQ000799,STA006
REQ000800,STA015
REQ000801,STA003
REQ000802,STA012
REQ000803,STA018
REQ000804,STA006
REQ000805,STA015
REQ000806,STA002
REQ000807,STA017
REQ000808,STA020
REQ000809,STA010
REQ000810,STA009
REQ000811,STA017
REQ000812,STA011
REQ000813,STA015
REQ000814,STA009
REQ000815,STA020
REQ000816,STA015
REQ000817,STA020
REQ000818,STA019
REQ000819,STA006
REQ000820,STA012
REQ000821,STA015
REQ000822,STA002
REQ000823,STA007
REQ000824,STA001
REQ000825,STA010
REQ000826,STA007
REQ000827,STA020
REQ000828,STA016
REQ000829,STA010
REQ000830,STA012
REQ000831,STA004
REQ000832,STA013
REQ000833,STA001
REQ000834,STA008
REQ000835,STA001
REQ000836,STA006
REQ000837,STA011
REQ000838,STA016
REQ000839,STA005
REQ000840,STA009
REQ000841,STA013
REQ000842,STA001
REQ000843,STA003
REQ000844,STA001
REQ000845,STA017
REQ000846,STA020
REQ000847,STA019
REQ000848,STA010
REQ000849,STA006
REQ000850,STA016
REQ000851,STA017
REQ000852,STA012
REQ000853,STA014
REQ000854,STA017
REQ000855,STA015
REQ000856,STA009
REQ000857,STA018
REQ000858,STA013
REQ000859,STA003
REQ000860,STA005
REQ000861,STA009
REQ000862,STA003
REQ000863,STA001
REQ000864,STA014
REQ000865,STA020
REQ000866,STA018
REQ000867,STA003
REQ000868,STA011
REQ000869,STA009
REQ000870,STA004
REQ000871,STA007
REQ000872,STA012
REQ000873,STA017
REQ000874,STA011
REQ000875,STA014
REQ000876,STA019
REQ000877,STA014
REQ000878,STA001
REQ000879,STA012
REQ000880,STA008
REQ000881,STA008
REQ000882,STA017
REQ000883,STA018
REQ000884,STA010
REQ000885,STA007
REQ000886,STA004
REQ000887,STA004
REQ000888,STA005
REQ000889,STA007
REQ000890,STA010
REQ000891,STA014
REQ000892,STA004
REQ000893,STA005
REQ000894,STA010
REQ000895,STA010
REQ000896,STA017
REQ000897,STA009
REQ000898,STA010
REQ000899,STA002
REQ000900,STA020
REQ000901,STA005
REQ000902,STA014
REQ000903,STA011
REQ000904,STA002
REQ000905,STA010
REQ000906,STA018
REQ000907,STA020
REQ000908,STA017
REQ000909,STA012
REQ000910,STA007
REQ000911,STA014
REQ000912,STA008
REQ000913,STA015
REQ000914,STA002
REQ000915,STA013
REQ000916,STA012
REQ000917,STA005
REQ000918,STA005
REQ000919,STA008
REQ000920,STA002
REQ000921,STA009
REQ000922,STA014
REQ000923,STA002
REQ000924,STA017
REQ000925,STA008
REQ000926,STA006
REQ000927,STA001
REQ000928,STA015
REQ000929,STA015
REQ000930,STA016
REQ000931,STA012
REQ000932,STA009
REQ000933,STA004
REQ000934,STA010
REQ000935,STA005
REQ000936,STA004
REQ000937,STA015
REQ000938,STA018
REQ000939,STA019
REQ000940,STA002
REQ000941,STA002
REQ000942,STA015
REQ000943,STA007
REQ000944,STA003
REQ000945,STA006
REQ000946,STA006
REQ000947,STA008
REQ000948,STA013
REQ000949,STA006
REQ000950,STA004
REQ000951,STA018
REQ000952,STA011
REQ000953,STA017
REQ000954,STA020
REQ000955,STA019
REQ000956,STA013
REQ000957,STA004
REQ000958,STA010
REQ000959,STA013
REQ000960,STA014
REQ000961,STA007
REQ000962,STA005
REQ000963,STA013
REQ000964,STA010
REQ000965,STA020
REQ000966,STA014
REQ000967,STA007
REQ000968,STA003
REQ000969,STA012
REQ000970,STA008
REQ000971,STA018
REQ000972,STA009
REQ000973,STA001
REQ000974,STA001
REQ000975,STA010
REQ000976,STA016
REQ000977,STA013
REQ000978,STA018
REQ000979,STA008
REQ000980,STA019
REQ000981,STA008
REQ000982,STA015
REQ000983,STA018
REQ000984,STA005
REQ000985,STA010
REQ000986,STA001
REQ000987,STA001
REQ000988,STA010
REQ000989,STA020
REQ000990,STA009
REQ000991,STA013
REQ000992,STA017
REQ000993,STA012
REQ000994,STA010
REQ000995,STA014
REQ000996,STA020
REQ000997,STA009
REQ000998,STA010
REQ000999,STA003
REQ001000,STA016
REQ001001,STA002
REQ001002,STA016
REQ001003,STA010
REQ001004,STA011
REQ001005,STA013
REQ001006,STA006
REQ001007,STA013
REQ001008,STA012
REQ001009,STA008
REQ001010,STA006
REQ001011,STA017
REQ001012,STA013
REQ001013,STA014
REQ001014,STA008
REQ001015,STA007
REQ001016,STA018
REQ001017,STA020
REQ001018,STA015
REQ001019,STA016
REQ001020,STA004
REQ001021,STA002
REQ001022,STA003
REQ001023,STA004
REQ001024,STA012
REQ001025,STA009
REQ001026,STA014
REQ001027,STA017
REQ001028,STA015
REQ001029,STA018
REQ001030,STA002
REQ001031,STA012
REQ001032,STA001
REQ001033,STA003
REQ001034,STA015
REQ001035,STA002
REQ001036,STA017
REQ001037,STA013
REQ001038,STA012
REQ001039,STA004
REQ001040,STA007
REQ001041,STA012
REQ001042,STA016
REQ001043,STA016
REQ001044,STA020
REQ001045,STA004
REQ001046,STA016
REQ001047,STA002
REQ001048,STA015
REQ001049,STA020
REQ001050,STA013
REQ001051,STA008
REQ001052,STA009
REQ001053,STA016
REQ001054,STA012
REQ001055,STA003
REQ001056,STA006
REQ001057,STA001
REQ001058,STA008
REQ001059,STA008
REQ001060,STA012
REQ001061,STA009
REQ001062,STA013
REQ001063,STA005
REQ001064,STA014
REQ001065,STA019
REQ001066,STA014
REQ001067,STA005
REQ001068,STA010
REQ001069,STA002
REQ001070,STA017
REQ001071,STA005
REQ001072,STA016
REQ001073,STA013
REQ001074,STA020
REQ001075,STA005
REQ001076,STA015
REQ001077,STA007
REQ001078,STA006
REQ001079,STA020
REQ001080,STA008
REQ001081,STA009
REQ001082,STA015
REQ001083,STA012
REQ001084,STA003
REQ001085,STA016
REQ001086,STA015
REQ001087,STA009
REQ001088,STA005
REQ001089,STA004
REQ001090,STA013
REQ001091,STA019
REQ001092,STA005
REQ001093,STA006
REQ001094,STA002
REQ001095,STA014
REQ001096,STA001
REQ001097,STA020
REQ001098,STA010
REQ001099,STA011
REQ001100,STA017
REQ001101,STA019
REQ001102,STA006
REQ001103,STA014
REQ001104,STA008
REQ001105,STA013
REQ001106,STA007
REQ001107,STA017
REQ001108,STA004
REQ001109,STA004
REQ001110,STA010
REQ001111,STA010
REQ001112,STA010
REQ001113,STA006
REQ001114,STA015
REQ001115,STA001
REQ001116,STA005
REQ001117,STA006
REQ001118,STA011
REQ001119,STA019
REQ001120,STA013
REQ001121,STA003
REQ001122,STA016
REQ001123,STA014
REQ001124,STA016
REQ001125,STA006
REQ001126,STA004
REQ001127,STA015
REQ001128,STA005
REQ001129,STA017
REQ001130,STA003
REQ001131,STA016
REQ001132,STA003
REQ001133,STA019
REQ001134,STA020
REQ001135,STA011
REQ001136,STA019
REQ001137,STA003
REQ001138,STA013
REQ001139,STA003
REQ001140,STA010
REQ001141,STA007
REQ001142,STA003
REQ001143,STA001
REQ001144,STA003
REQ001145,STA016
REQ001146,STA013
REQ001147,STA019
REQ001148,STA019
REQ001149,STA009
REQ001150,STA013
REQ001151,STA009
REQ001152,STA017
REQ001153,STA006
REQ001154,STA011
REQ001155,STA020
REQ001156,STA001
REQ001157,STA014
REQ001158,STA001
REQ001159,STA020
REQ001160,STA005
REQ001161,STA002
REQ001162,STA013
REQ001163,STA016
REQ001164,STA010
REQ001165,STA015
REQ001166,STA019
REQ001167,STA004
REQ001168,STA013
REQ001169,STA009
REQ001170,STA019
REQ001171,STA019
REQ001172,STA014
REQ001173,STA019
REQ001174,STA008
REQ001175,STA020
REQ001176,STA015
REQ001177,STA017
REQ001178,STA005
REQ001179,STA009
REQ001180,STA012
REQ001181,STA003
REQ001182,STA006
REQ001183,STA008
REQ001184,STA012
REQ001185,STA010
REQ001186,STA003
REQ001187,STA002
REQ001188,STA020
REQ001189,STA014
REQ001190,STA019
REQ001191,STA009
REQ001192,STA011
REQ001193,STA013
REQ001194,STA018
REQ001195,STA002
REQ001196,STA020
REQ001197,STA007
REQ001198,STA011
REQ001199,STA016
REQ001200,STA020
REQ001201,STA019
REQ001202,STA009
REQ001203,STA016
REQ001204,STA012
REQ001205,STA011
REQ001206,STA017
REQ001207,STA002
REQ001208,STA011
REQ001209,STA016
REQ001210,STA018
REQ001211,STA003
REQ001212,STA006
REQ001213,STA018
REQ001214,STA020
REQ001215,STA005
REQ001216,STA010
REQ001217,STA005
REQ001218,STA018
REQ001219,STA010
REQ001220,STA005
REQ001221,STA007
REQ001222,STA014
REQ001223,STA001
REQ001224,STA017
REQ001225,STA009
REQ001226,STA011
REQ001227,STA019
REQ001228,STA006
REQ001229,STA012
REQ001230,STA001
REQ001231,STA015
REQ001232,STA016
REQ001233,STA013
REQ001234,STA002
REQ001235,STA008
REQ001236,STA017
REQ001237,STA014
REQ001238,STA016
REQ001239,STA013
REQ001240,STA008
REQ001241,STA005
REQ001242,STA019
REQ001243,STA017
REQ001244,STA013
REQ001245,STA009
REQ001246,STA013
REQ001247,STA006
REQ001248,STA009
REQ001249,STA010
REQ001250,STA011
REQ001251,STA001
REQ001252,STA019
REQ001253,STA004
REQ001254,STA003
REQ001255,STA008
REQ001256,STA017
REQ001257,STA005
REQ001258,STA001
REQ001259,STA003
REQ001260,STA006
REQ001261,STA004
REQ001262,STA001
REQ001263,STA012
REQ001264,STA008
REQ001265,STA019
REQ001266,STA015
REQ001267,STA012
REQ001268,STA006
REQ001269,STA017
REQ001270,STA013
REQ001271,STA020
REQ001272,STA013
REQ001273,STA014
REQ001274,STA004
REQ001275,STA019
REQ001276,STA019
REQ001277,STA019
REQ001278,STA016
REQ001279,STA007
REQ001280,STA007
REQ001281,STA002
REQ001282,STA018
REQ001283,STA008
REQ001284,STA012
REQ001285,STA019
REQ001286,STA007
REQ001287,STA019
REQ001288,STA011
REQ001289,STA010
REQ001290,STA019
REQ001291,STA003
REQ001292,STA004
REQ001293,STA012
REQ001294,STA019
REQ001295,STA001
REQ001296,STA007
REQ001297,STA010
REQ001298,STA002
REQ001299,STA011
REQ001300,STA015
REQ001301,STA011
REQ001302,STA016
REQ001303,STA003
REQ001304,STA016
REQ001305,STA020
REQ001306,STA017
REQ001307,STA012
REQ001308,STA019
REQ001309,STA015
REQ001310,STA006
REQ001311,STA011
REQ001312,STA004
REQ001313,STA010
REQ001314,STA002
REQ001315,STA014
REQ001316,STA005
REQ001317,STA010
REQ001318,STA008
REQ001319,STA008
REQ001320,STA003
REQ001321,STA005
REQ001322,STA002
REQ001323,STA016
REQ001324,STA016
REQ001325,STA003
REQ001326,STA013
REQ001327,STA007
REQ001328,STA006
REQ001329,STA011
REQ001330,STA008
REQ001331,STA006
REQ001332,STA014
REQ001333,STA013
REQ001334,STA018
REQ001335,STA016
REQ001336,STA002
REQ001337,STA017
REQ001338,STA004
REQ001339,STA020
REQ001340,STA004
REQ001341,STA012
REQ001342,STA016
REQ001343,STA009
REQ001344,STA017
REQ001345,STA011
REQ001346,STA014
REQ001347,STA020
REQ001348,STA010
REQ001349,STA001
REQ001350,STA006
REQ001351,STA013
REQ001352,STA001
REQ001353,STA010
REQ001354,STA007
REQ001355,STA011
REQ001356,STA013
REQ001357,STA009
REQ001358,STA001
REQ001359,STA015
REQ001360,STA020
REQ001361,STA018
REQ001362,STA007
REQ001363,STA006
REQ001364,STA014
REQ001365,STA008
REQ001366,STA009
REQ001367,STA006
REQ001368,STA004
REQ001369,STA016
REQ001370,STA017
REQ001371,STA018
REQ001372,STA010
REQ001373,STA014
REQ001374,STA004
REQ001375,STA011
REQ001376,STA018
REQ001377,STA001
REQ001378,STA010
REQ001379,STA012
REQ001380,STA009
REQ001381,STA005
REQ001382,STA001
REQ001383,STA005
REQ001384,STA011
REQ001385,STA019
REQ001386,STA014
REQ001387,STA014
REQ001388,STA001
REQ001389,STA020
REQ001390,STA011
REQ001391,STA019
REQ001392,STA015
REQ001393,STA015
REQ001394,STA008
REQ001395,STA019
REQ001396,STA003
